name,batch,celltype,sample,single_or_paired
SRR3724617,1,T-cell,1,paired
SRR3724618,1,T-cell,1,paired
SRR3724619,1,T-cell,1,paired
SRR3724620,1,T-cell,1,paired
SRR3724621,1,T-cell,2,paired
SRR3724622,1,T-cell,2,paired
SRR3724623,1,T-cell,2,paired
SRR3724624,1,T-cell,2,paired
SRR3724625,1,T-cell,3,paired
SRR3724626,1,T-cell,3,paired
SRR3724627,1,T-cell,3,paired
SRR3724628,1,T-cell,3,paired
SRR3647474,2,B-cell,4,paired
SRR3647476,2,T-cell,4,paired
SRR3647477,2,T-cell,4,paired
SRR3647488,3,B-cell,4,paired
SRR3647490,3,T-cell,4,paired
SRR3647491,3,T-cell,4,paired
SRR1550988,4,B-cell,5,paired
SRR1550989,4,T-cell,5,paired
SRR1550990,4,T-cell,5,paired
SRR1550991,4,NK,5,paired
SRR1551049,4,B-cell,6,paired
SRR1551050,4,T-cell,6,paired
SRR1551051,4,T-cell,6,paired
SRR1551052,4,NK,6,paired
SRR1551056,4,B-cell,7,paired
SRR1551057,4,T-cell,7,paired
SRR1551058,4,T-cell,7,paired
SRR1551059,4,NK,7,paired
SRR1551070,4,B-cell,8,paired
SRR1551071,4,T-cell,8,paired
SRR1551072,4,T-cell,8,paired
SRR1551073,4,NK,8,paired
SRR1638520,5,T-cell,9,paired
SRR1638522,5,T-cell,9,paired
